Reference, Quantity, Value, Footprint, Datasheet, Manufacturer part#, Vendor, Vendor part#, Manufacturer 2nd part#, Vendor 2nd part#, C90157, LCSC, MMBT9014C, AVAILABILITY, DESCRIPTION, MF, MP, PACKAGE, PRICE
CN4000 ,1,"Conn_01x12_Female","Connector_PinSocket_2.54mm:PinSocket_1x12_P2.54mm_Vertical","https://app.adam-tech.com/products/download/data_sheet/203013/rs1-xx-g-data-sheet.pdf","PPTC121LFBN-RC","digikey","S6100-ND","","","","","","","","","","",""
CN56 ,1,"Conn_01x24_Female","Connector_PinSocket_2.54mm:PinSocket_1x24_P2.54mm_Vertical","https://media.digikey.com/pdf/Data%20Sheets/Sullins%20PDFs/Female_Headers.100_DS.pdf","PPTC241LFBN-RC","digikey","S7022-ND","","","","","","","","","","",""
CN7 ,1,"Jack-DC","Connector_BarrelJack:BarrelJack_CUI_PJ-063AH_Horizontal","https://www.cuidevices.com/product/resource/digikeypdf/pj-063ah.pdf","PJ-063AH","digikey","CP-063AH-ND","","","","","","","","","","",""
D1001 ,1,"5A 40V","Diode_SMD:D_SMB","https://datasheet.lcsc.com/lcsc/2011241905_MDD-Microdiode-Electronics-SS54B_C32513.pdf","SS54B","LCSC","C32513","","","","","","","","","","",""
D11 D8 D9 D10 ,4,"1KF20-04","Diode_THT:D_A-405_P10.16mm_Horizontal","https://www.nteinc.com/specs/100to199/pdf/nte109.pdf","D-GE-GEN PURP 75V","digikey","2368-NTE109-ND","","","","","","","","","","",""
D12 D5 D1002 D1003 D1004 ,5,"1N4148","Diode_SMD:D_SOD-323F","https://datasheet.lcsc.com/lcsc/1810101110_Changjiang-Electronics-Tech--CJ-1N4148WS_C2128.pdf","1N4148WS","JLCPCB","C2128","","","","","","","","","","",""
FB8 FB6 FB9 FB10 FB5 ,5," ","coco2:FB_28L0138-10R-10"," https://media.digikey.com/pdf/Data%20Sheets/Laird%20Technologies/Ferrite_EMI_Cable_Cores.pdf","28L0138-10R-10","digikey","240-2438-1-ND","","","","","","","","","","",""
H1 H2 ,2,"MountingHole","MountingHole:MountingHole_3.5mm","~"
H3 ,1,"MountingHole","coco2:coco3_outline_and_layout","~"
IC1 ,1,"MC6809E","Package_DIP:DIP-40_W15.24mm_Socket","https://datasheet.lcsc.com/lcsc/1810201609_Ckmtw-Shenzhen-Cankemeng-Z-ICS0S40P-W000_C132506.pdf","Z-ICS0S40P-W000","JLCPCB","C132506","","","","","","","","","","",""
IC12 IC10 IC11 ,3,"74LS244","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm","https://datasheet.lcsc.com/lcsc/1809192013_Texas-Instruments-SN74LS244DWR_C7751.pdf","SN74LS244DWR","JLCPCB","C7751","","","","","","","","","","",""
IC13 ,1,"74LS374","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm"," https://datasheet.lcsc.com/lcsc/1809251730_Texas-Instruments-SN74LS374NSR_C7764.pdf","SN74LS374NSR","JLCPCB","C7764","","","","","","","","","","",""
IC14 ,1,"74LS30","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","https://datasheet.lcsc.com/lcsc/1809051422_Texas-Instruments-SN74LS30DR_C7759.pdf","SN74LS30DR","JLCPCB","C7759","","","","","","","","","","",""
IC15 ,1,"74LS04","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","https://datasheet.lcsc.com/lcsc/1810292010_Texas-Instruments-SN74LS04DR_C6796.pdf","SN74LS04DR","JLCPCB","C6796","","","","","","","","","","",""
